language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Arifama-Miniafia,aai,Austronesian,_,V,X,NQuant,99/87,51/67,23/48,10/23,20/22,3/5,34/47,4/3,5/0,12/13,4/3,27/30,0/0,1/7,1/17,24/56,0/0
Ankave,aak,Angan,_,_,_,_,51/58,26/40,33/26,13/20,13/27,1/7,12/68,1/4,0/0,10/11,4/2,22/31,0/0,1/3,1/13,27/37,0/0
Abau,aau,Sepik,NNum,_,_,NQuant,108/164,37/71,16/61,17/31,14/27,3/15,17/65,2/10,2/0,7/14,0/9,18/38,0/1,3/6,5/11,31/49,0/1
Amarasi,aaz,Austronesian,NNum,_,_,NQuant,99/67,39/117,36/66,18/32,9/39,3/8,29/83,4/6,0/9,7/26,0/9,7/58,2/12,1/17,6/25,5/12,0/0
Ambulas,abt,Ndu,NNum,V,1/3,QuantN,156/69,96/124,40/87,21/56,27/42,5/12,30/118,5/16,0/1,16/21,7/6,28/35,0/0,2/11,17/23,83/32,0/2
Inabaknon,abx,Austronesian,NumN,_,_,QuantN,389/46,113/21,63/20,43/4,35/3,11/1,72/12,3/2,0/1,21/3,4/3,41/27,9/1,6/0,17/1,90/1,3/1
Aneme Wake,aby,Yareban,NNum,V,X,NQuant,116/40,22/33,19/38,17/24,22/13,2/8,23/47,3/9,0/0,8/21,2/4,16/29,4/0,0/6,1/17,4/20,0/0
Achagua,aca,Arawakan,NumN,_,_,QuantN,449/26,79/17,39/4,17/0,33/1,7/0,26/3,4/0,1/3,14/1,3/4,26/16,1/1,5/3,14/0,56/4,0/0
Gikyode,acd,Atlantic-Congo,NNum,_,_,NQuant,76/93,47/75,7/62,15/23,9/23,0/12,19/70,1/7,1/0,5/17,3/3,20/46,0/7,3/10,4/15,24/45,1/2
Achinese,ace,Austronesian,NumN,V,X,QuantN,498/68,119/27,74/11,46/5,44/4,11/1,81/5,8/0,1/4,21/5,3/4,39/18,6/1,7/0,20/0,54/6,2/0
Saint Lucian Creole French,acf,Indo-European,NumN,_,_,QuantN,840/42,124/17,68/8,49/1,40/0,10/1,75/11,7/1,0/1,24/1,3/4,44/22,4/1,6/4,30/2,110/3,2/1
Acoli,ach,Nilotic,NNum,_,_,NQuant,64/152,31/107,12/64,22/35,6/38,0/12,13/76,1/6,0/3,6/21,0/6,9/62,1/7,1/9,2/18,34/55,0/1
